sma,roc,atr_p,atr_m,reb,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
150,15,10,5.0,9,0.45,14,0.32522792916361665,1.509716700681648,0.39000302289166644,0.6171015681755794,-0.08360474165432696,0.3347413145506506,0.36816386215502406,0.36533486652927905
150,15,10,5.0,9,0.45,20,0.3314318607058857,1.5985428325289655,0.4532753658083335,0.5903494468838903,-0.09267335555730283,0.3288168413343078,0.36327945134973305,0.38891728117395385
150,15,10,5.0,14,0.42,14,0.28196674293476254,0.8475176473412671,0.5073740573916672,0.3625897941213285,-0.07778351694426777,0.24056413967662893,0.517859473604938,0.22183897439015254
150,15,10,5.0,14,0.42,20,0.28578453152849326,0.8589929127336599,0.5073740573916672,0.3625897941213285,-0.06299818779495936,0.23676818118400966,0.5111786951260859,0.23236242803147267
150,15,10,5.0,14,0.45,14,0.27472855096166704,0.7894324564525464,0.4351649787249998,0.3808708489208401,-0.11322773504266781,0.2594786109181728,0.5505759150562337,0.2309273266103471
150,15,10,5.0,14,0.45,20,0.28247718765155905,0.8490519095062815,0.5073740573916672,0.3625897941213285,-0.09438457348329998,0.24497397940230137,0.5255719029413357,0.23667397431402226
150,15,20,3.0,5,0.42,14,0.23076840272178378,0.7752467063520543,0.5820549761249989,0.21485859346573544,-0.24676685975831048,0.1409669718197768,0.6113244548142216,0.20972465143896102
150,15,20,3.0,5,0.42,20,0.23935864235330828,0.9253035346442455,0.5657534455916657,0.21702847051707508,-0.20647381297582756,0.13492066356609467,0.5883693030906985,0.22946896660806515
150,15,20,3.0,5,0.45,14,0.22550134386143483,0.7290140180874953,0.4983676053416659,0.2264834169628278,-0.25644403772571556,0.14910834694285113,0.6418340841739019,0.2161286545311949
150,15,20,3.0,5,0.45,20,0.23950199843771447,0.9300034022568909,0.5657534455916657,0.21702847051707508,-0.20529464696156696,0.13472047130554143,0.5876048786444821,0.2292803728169568
150,15,20,3.0,9,0.42,14,0.2512227012785284,1.2313533511007486,0.2145441135499997,0.8525079818919175,-0.09422134125470938,0.2167808194750982,0.2564295605116942,0.1889618622066298
150,15,20,3.0,9,0.42,20,0.25625630861252047,1.2560252825276963,0.2145441135499997,0.8525079818919175,-0.10159615361863272,0.21856032862809882,0.25815699038328765,0.22348604212740453
150,15,20,3.0,9,0.45,14,0.2489134350576605,1.1693328058088401,0.16316159100000016,0.8899660706765093,-0.09071000476042623,0.2209951002673638,0.26051234806318435,0.19137949323739445
150,15,20,3.0,9,0.45,20,0.25698451988517923,1.259594567414509,0.2145441135499997,0.8525079818919175,-0.09601140850937939,0.21721008622695304,0.25684672654913676,0.22257202482193317
150,15,20,3.0,14,0.42,14,0.2483901536321067,0.7868247222294421,0.22181620900833376,0.5514958629240547,-0.08849758633236227,0.2583308451078383,0.4608433041936637,0.17709268680449064
150,15,20,3.0,14,0.42,20,0.2516770323790465,0.7972365578809196,0.22181620900833376,0.5514958629240547,-0.08196828249131283,0.2564935223366802,0.45820300035599937,0.1904183154305532
150,15,20,3.0,14,0.45,14,0.24785761038122556,0.7986195358951049,0.24459098270833368,0.5413800056681008,-0.10427728146241555,0.2596951609724045,0.46279913160996733,0.1776078419657725
150,15,20,3.0,14,0.45,20,0.24979875472512747,0.791286743559763,0.22181620900833376,0.5514958629240547,-0.099027526652532,0.26135003655076683,0.4651660833690183,0.1923985397149126
150,15,20,4.0,5,0.42,14,0.2635038604007929,1.0468050334667822,0.6114298160833325,0.27438869156097745,-0.2033836903543934,0.20413458362288983,0.5460992034681749,0.23168002536824917
150,15,20,4.0,5,0.42,20,0.2706546638595331,1.2563826542677625,0.586818221024999,0.2785184923316957,-0.1658813823159756,0.19725406387947642,0.5308088662741168,0.24917306957943808
150,15,20,4.0,5,0.45,14,0.25780620867294246,0.9559293748050701,0.5277424452999984,0.28895768252089793,-0.21968324777483716,0.21699242956204068,0.5741967210761478,0.23928241643754755
150,15,20,4.0,5,0.45,20,0.26976993470349075,1.209836905847285,0.586818221024999,0.2785184923316957,-0.17357012023687635,0.1990892284084218,0.5349047209159379,0.2504304689569887
150,15,20,4.0,9,0.42,14,0.2881840651916556,1.207020793129707,0.21895650194999927,0.7446753324007898,-0.05906839813771281,0.26029441627758176,0.3239584868795524,0.3130859736020133
150,15,20,4.0,9,0.42,20,0.292420491754807,1.224764504763763,0.21895650194999927,0.7446753324007898,-0.06826144984313809,0.2628626260259821,0.3264911908569481,0.3462349137309946
